Date,Open,High,Low,Close,Adj Close,Volume
2015-01-27,5.075,5.08,4.8975,4.9075,4.719844,35794800
2015-01-28,4.9675,4.9875,4.825,4.8275,4.642901,27272800
2015-01-29,4.83,4.9725,4.8075,4.945,4.755909,23534000
2015-01-30,4.91,4.9675,4.7925,4.8,4.616454,29820000
2015-02-02,4.83,4.925,4.735,4.905,4.717439,25960400
2015-02-03,4.94,5.0325,4.915,5.0275,4.835254,18346800
2015-02-04,5.0125,5.0975,4.9975,5.04,4.847277,18151600
2015-02-05,5.045,5.125,5.04,5.1225,4.92662,14044800
2015-02-06,5.1175,5.1775,5.0775,5.1,4.904983,21052400
2015-02-09,5.07,5.11,5.0375,5.095,4.900174,27394400
2015-02-10,5.1,5.24,5.0775,5.2375,5.037224,22620400
2015-02-11,5.25,5.25,5.1675,5.2025,5.003562,32083200
2015-02-12,5.5,5.625,5.4675,5.575,5.361819,67690400
2015-02-13,5.5625,5.585,5.4775,5.5775,5.364223,31008400
2015-02-17,5.5675,5.6225,5.5325,5.595,5.381053,20334000
2015-02-18,5.5875,5.5975,5.52,5.53,5.31854,17094800
2015-02-19,5.6,5.61,5.52,5.545,5.332965,16943200
2015-02-20,5.54,5.5875,5.5,5.585,5.371435,15775200
2015-02-23,5.5825,5.5825,5.5125,5.54,5.328158,12500800
2015-02-24,5.54,5.5775,5.49,5.5775,5.38488,14935600
2015-02-25,5.555,5.58,5.51,5.535,5.343846,12382000
2015-02-26,5.54,5.5825,5.505,5.55,5.358328,15286400
2015-02-27,5.535,5.5475,5.495,5.515,5.324536,15749200
2015-03-02,5.5,5.68,5.4925,5.65,5.454874,30151200
2015-03-03,5.6075,5.635,5.5275,5.545,5.353499,16034400
2015-03-04,5.525,5.62,5.5025,5.6075,5.413842,22684000
2015-03-05,5.6075,5.725,5.5925,5.715,5.517629,32305600
2015-03-06,5.6825,5.71,5.6325,5.6375,5.442805,25739200
2015-03-09,5.64,5.695,5.6275,5.6525,5.457288,22238800
2015-03-10,5.6775,5.7875,5.6675,5.75,5.55142,52721200
2015-03-11,5.75,5.825,5.705,5.72,5.522458,26212000
2015-03-12,5.665,5.7075,5.56,5.6675,5.47177,40697200
2015-03-13,5.64,5.69,5.5625,5.675,5.479011,35928800
2015-03-16,5.72,5.7775,5.6825,5.7425,5.544179,23695600
2015-03-17,5.73,5.815,5.69,5.8125,5.611762,29990000
2015-03-18,5.8125,5.8425,5.665,5.7175,5.520042,41384400
2015-03-19,5.7375,5.825,5.695,5.805,5.604521,31075600
