Date,Open,High,Low,Close,Adj Close,Volume
2016-03-14,0.002189,0.002272,0.002097,0.002138,0.002138,74931.0
2016-03-15,0.00214,0.002201,0.002059,0.002193,0.002193,45366.0
2016-03-16,0.002197,0.002203,0.002088,0.002136,0.002136,24794.0
2016-03-17,0.002138,0.002206,0.002088,0.002147,0.002147,45510.0
2016-03-18,0.002146,0.00218,0.00197,0.00198,0.00198,50038.0
2016-03-19,0.001985,0.002097,0.001957,0.002015,0.002015,46715.0
2016-03-20,0.001998,0.002135,0.001996,0.002088,0.002088,23789.0
2016-03-21,0.002088,0.002088,0.002027,0.002074,0.002074,24440.0
2016-03-22,0.002074,0.002102,0.00206,0.002079,0.002079,18784.0
2016-03-23,0.002079,0.002206,0.002005,0.002174,0.002174,20972.0
2016-03-24,0.002174,0.002183,0.002065,0.00208,0.00208,19201.0
2016-03-25,0.002087,0.002126,0.002016,0.002076,0.002076,23037.0
2016-03-26,0.002075,0.002079,0.002009,0.002059,0.002059,15616.0
2016-03-27,0.002059,0.002095,0.001971,0.002027,0.002027,31234.0
2016-03-28,0.002031,0.002219,0.002011,0.002113,0.002113,84150.0
2016-03-29,0.002112,0.002128,0.002053,0.002087,0.002087,17062.0
2016-03-30,0.002087,0.002089,0.002006,0.002039,0.002039,18345.0
2016-03-31,0.002039,0.002073,0.002021,0.002027,0.002027,34233.0
2016-04-01,0.002026,0.002054,0.001993,0.002047,0.002047,20022.0
2016-04-02,0.002047,0.002128,0.00204,0.002089,0.002089,30735.0
2016-04-03,0.002089,0.002225,0.002081,0.00221,0.00221,43511.0
2016-04-04,0.002205,0.002465,0.002204,0.002294,0.002294,179638.0
2016-04-05,0.002299,0.002307,0.002099,0.00216,0.00216,79658.0
2016-04-06,0.00216,0.002243,0.002088,0.002163,0.002163,30023.0
2016-04-07,0.002154,0.002249,0.002131,0.002155,0.002155,43761.0
2016-04-08,0.002156,0.002237,0.002133,0.002184,0.002184,33986.0
2016-04-09,0.002184,0.002209,0.002002,0.002017,0.002017,29154.0
2016-04-10,0.002018,0.002051,0.001427,0.001882,0.001882,128084.0
2016-04-11,0.001885,0.001988,0.001869,0.001903,0.001903,26655.0
2016-04-12,0.001903,0.001934,0.001829,0.001871,0.001871,38237.0
2016-04-13,0.001876,0.001924,0.001832,0.001863,0.001863,43097.0
2016-04-14,0.001874,0.001887,0.001846,0.001877,0.001877,23351.0
2016-04-15,0.001877,0.001928,0.001823,0.001879,0.001879,40559.0
2016-04-16,0.001879,0.001934,0.001869,0.001922,0.001922,18872.0
2016-04-17,0.001922,0.001931,0.001846,0.001899,0.001899,14645.0
2016-04-18,0.001899,0.001914,0.00189,0.001903,0.001903,24122.0
2016-04-19,0.001903,0.001929,0.001893,0.001929,0.001929,13111.0
2016-04-20,0.001928,0.001949,0.001856,0.001928,0.001928,39461.0
2016-04-21,0.001919,0.001985,0.001806,0.001874,0.001874,54310.0
2016-04-22,0.001874,0.001918,0.001859,0.001917,0.001917,26976.0
2016-04-23,0.001917,0.00193,0.001884,0.001926,0.001926,22819.0
2016-04-24,0.001926,0.001968,0.001884,0.001912,0.001912,18230.0
2016-04-25,0.001912,0.001954,0.001859,0.001876,0.001876,55865.0
2016-04-26,0.001874,0.00191,0.001707,0.001819,0.001819,93637.0
2016-04-27,0.00182,0.001858,0.001798,0.001832,0.001832,31873.0
2016-04-28,0.001833,0.001911,0.001799,0.001904,0.001904,44636.0
2016-04-29,0.001904,0.00191,0.001845,0.001849,0.001849,11889.0
2016-04-30,0.001849,0.001912,0.001843,0.001852,0.001852,24008.0
2016-05-01,0.001852,0.001906,0.001841,0.001883,0.001883,6884.0
2016-05-02,0.001883,0.001905,0.001833,0.001868,0.001868,19403.0
2016-05-03,0.001868,0.001891,0.001856,0.001862,0.001862,17242.0
2016-05-04,0.001862,0.001885,0.001838,0.001865,0.001865,16615.0
2016-05-05,0.001865,0.001871,0.001829,0.00184,0.00184,12585.0
2016-05-06,0.00184,0.00186,0.001829,0.001829,0.001829,8634.0
2016-05-07,0.001837,0.001846,0.00181,0.001814,0.001814,10780.0
2016-05-08,0.001814,0.001827,0.001771,0.001796,0.001796,18197.0
2016-05-09,0.001796,0.001815,0.001769,0.001802,0.001802,7597.0
2016-05-10,0.001802,0.001808,0.001752,0.001774,0.001774,22841.0
2016-05-11,0.001775,0.001797,0.001767,0.001797,0.001797,10744.0
2016-05-12,0.001797,0.001805,0.001766,0.0018,0.0018,13568.0
2016-05-13,0.001801,0.001803,0.001743,0.00177,0.00177,33122.0
2016-05-14,0.00177,0.001793,0.00176,0.001781,0.001781,5037.0
2016-05-15,0.001783,0.001783,0.00175,0.001762,0.001762,6509.0
2016-05-16,0.00174,0.001768,0.001687,0.001724,0.001724,18729.0
2016-05-17,0.001724,0.001737,0.00169,0.001692,0.001692,14874.0
2016-05-18,0.0017,0.001736,0.001693,0.001711,0.001711,5071.0
2016-05-19,0.001711,0.001727,0.001639,0.001661,0.001661,24544.0
2016-05-20,0.001665,0.001709,0.001629,0.001649,0.001649,34740.0
2016-05-21,0.00165,0.001651,0.001595,0.001634,0.001634,34693.0
2016-05-22,0.001634,0.001699,0.001606,0.001626,0.001626,11344.0
2016-05-23,0.001626,0.001635,0.001579,0.001599,0.001599,15998.0
2016-05-24,0.001599,0.001641,0.001577,0.001608,0.001608,22195.0
2016-05-25,0.00161,0.001611,0.001535,0.00155,0.00155,23106.0
2016-05-26,0.001551,0.00156,0.001483,0.001489,0.001489,38921.0
2016-05-27,0.001481,0.001578,0.001444,0.001444,0.001444,43506.0
2016-05-28,0.001444,0.001516,0.001443,0.001476,0.001476,50704.0
2016-05-29,0.001475,0.001596,0.001475,0.001497,0.001497,51175.0
2016-05-30,0.001497,0.001547,0.001489,0.00151,0.00151,15509.0
2016-05-31,0.001512,0.001557,0.001483,0.001543,0.001543,18898.0
2016-06-01,0.001542,0.001548,0.001481,0.001525,0.001525,24848.0
2016-06-02,0.001526,0.001543,0.001511,0.001512,0.001512,3798.0
2016-06-03,0.001512,0.001551,0.001501,0.00153,0.00153,11139.0
2016-06-04,0.00153,0.001551,0.001507,0.001527,0.001527,13522.0
2016-06-05,0.001526,0.001536,0.00149,0.001498,0.001498,7181.0
2016-06-06,0.001498,0.001519,0.001483,0.001496,0.001496,3612.0
2016-06-07,0.001496,0.001509,0.001465,0.001488,0.001488,19109.0
2016-06-08,0.001488,0.001518,0.001475,0.001497,0.001497,9521.0
2016-06-09,0.001496,0.001587,0.001471,0.001587,0.001587,26347.0
2016-06-10,0.001587,0.001587,0.001539,0.001573,0.001573,7053.0
2016-06-11,0.001573,0.001596,0.001529,0.001576,0.001576,16469.0
2016-06-12,0.001576,0.001653,0.001537,0.00162,0.00162,42720.0
2016-06-13,0.00162,0.001641,0.001543,0.001561,0.001561,37628.0
2016-06-14,0.001561,0.001825,0.001521,0.001754,0.001754,176486.0
2016-06-15,0.001754,0.001755,0.001589,0.001668,0.001668,31927.0
2016-06-16,0.001667,0.001722,0.001615,0.001722,0.001722,30780.0
2016-06-17,0.001723,0.001828,0.001642,0.001697,0.001697,60976.0
2016-06-18,0.001697,0.001799,0.001654,0.001758,0.001758,37093.0
2016-06-19,0.001758,0.001858,0.001721,0.001831,0.001831,57599.0
2016-06-20,0.001835,0.001923,0.001747,0.001774,0.001774,77260.0
2016-06-21,0.001761,0.001967,0.001683,0.001711,0.001711,124214.0
2016-06-22,0.001709,0.001761,0.001619,0.00162,0.00162,70192.0
2016-06-23,0.001641,0.001686,0.001558,0.001666,0.001666,37747.0
2016-06-24,0.001666,0.001847,0.001636,0.001786,0.001786,80904.0
2016-06-25,0.001789,0.001846,0.00172,0.001788,0.001788,52335.0
2016-06-26,0.001788,0.002141,0.001788,0.002026,0.002026,394757.0
2016-06-27,0.00202,0.002863,0.00194,0.002657,0.002657,543934.0
2016-06-28,0.002545,0.002645,0.002278,0.002333,0.002333,849604.0
2016-06-29,0.002347,0.00235,0.002002,0.00204,0.00204,299766.0
2016-06-30,0.002048,0.002187,0.00203,0.002143,0.002143,152025.0
2016-07-01,0.002117,0.002122,0.002015,0.002035,0.002035,77519.0
2016-07-02,0.002035,0.002071,0.002002,0.00204,0.00204,46649.0
2016-07-03,0.002035,0.002041,0.001868,0.001928,0.001928,49340.0
2016-07-04,0.001929,0.002,0.001843,0.001935,0.001935,99562.0
2016-07-05,0.001932,0.00196,0.001834,0.001869,0.001869,81723.0
2016-07-06,0.001869,0.001937,0.001831,0.001846,0.001846,45332.0
2016-07-07,0.001847,0.001855,0.001697,0.00174,0.00174,71044.0
2016-07-08,0.00174,0.00187,0.00173,0.00187,0.00187,63067.0
2016-07-09,0.001824,0.00183,0.001732,0.001763,0.001763,29463.0
2016-07-10,0.001763,0.001887,0.001751,0.001852,0.001852,52317.0
2016-07-11,0.001851,0.001881,0.001755,0.001809,0.001809,73548.0
2016-07-12,0.001817,0.002041,0.001811,0.001991,0.001991,206642.0
2016-07-13,0.001971,0.002315,0.00197,0.002164,0.002164,472760.0
2016-07-14,0.002154,0.002195,0.001958,0.002039,0.002039,208913.0
2016-07-15,0.002039,0.002069,0.001946,0.001977,0.001977,55698.0
2016-07-16,0.001973,0.002001,0.001906,0.001926,0.001926,34167.0
2016-07-17,0.001926,0.001947,0.001895,0.001925,0.001925,40947.0
2016-07-18,0.001927,0.001992,0.001906,0.001982,0.001982,36209.0
2016-07-19,0.001985,0.001985,0.001897,0.0019,0.0019,38329.0
2016-07-20,0.0019,0.001913,0.001849,0.001862,0.001862,29104.0
2016-07-21,0.001881,0.001881,0.001813,0.001839,0.001839,33817.0
2016-07-22,0.00184,0.001888,0.001809,0.001824,0.001824,28249.0
2016-07-23,0.001829,0.002207,0.001816,0.002084,0.002084,184081.0
2016-07-24,0.002102,0.002297,0.001987,0.002253,0.002253,365060.0
2016-07-25,0.002274,0.002336,0.002092,0.002143,0.002143,126331.0
2016-07-26,0.002148,0.002173,0.001913,0.001939,0.001939,85306.0
2016-07-27,0.001938,0.002016,0.001882,0.001931,0.001931,42518.0
2016-07-28,0.001931,0.001986,0.001901,0.001948,0.001948,26246.0
2016-07-29,0.001949,0.00204,0.001939,0.002013,0.002013,20761.0
2016-07-30,0.002013,0.002027,0.001924,0.00194,0.00194,29195.0
2016-07-31,0.00194,0.001962,0.001864,0.001916,0.001916,41971.0
2016-08-01,0.001915,0.001956,0.001874,0.001874,0.001874,44883.0
2016-08-02,0.001886,0.001906,0.001693,0.001736,0.001736,68214.0
2016-08-03,0.001773,0.001847,0.001755,0.001804,0.001804,74611.0
2016-08-04,0.001801,0.001903,0.001801,0.001879,0.001879,29099.0
2016-08-05,0.001879,0.001956,0.001822,0.0019,0.0019,69207.0
2016-08-06,0.0019,0.001982,0.001879,0.001956,0.001956,60717.0
2016-08-07,0.001956,0.00198,0.001863,0.001888,0.001888,18833.0
2016-08-08,0.001887,0.00191,0.001824,0.001848,0.001848,26338.0
2016-08-09,0.001849,0.001892,0.001841,0.001871,0.001871,24533.0
